Full Name,Description,Job,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Reason,Known for,Notable Work,Image,Website,Children,Native Name,Signature,Title,Honours,Awards,Education,Birth Name,Nationality,Weight,Height,Eye Color,Hair Color
Ayinapalli Aiyappan,,[[Anthropologist]],,,,,{{Birth date|1905|2|5|df|=|yes}},{{Death date and age|1988|06|28|1905|02|05|df|=|yes}},"[[Pavaratty]], [[Thrissur]]","[[Pavaratty]], [[Thrissur]]",,,,A. Aiyappan.jpg,,,,,,,,,,,,,,
Ambika Radhika Suresh,,,,,,,,,,,,,,,,,,,,,,,,{{IND}},,,,
Aakarshi Kashyap,,,India,,,,{{birth date and age|df|=|yes|2001|08|24}},,,,,,,,,,,,,,,,,,60 kg,1.70 m,,
Aanchal Thakur,,,{{IND}},,,,{{birth date and age|df|=|yes|1996|08|28}},,"[[Manali, Himachal Pradesh|Manali]], [[Himachal Pradesh]], [[India]]",,,,,,,,,,,,,,,Indian,,,,
Aarthie Ramaswamy,,,India,,,,{{birth date and age|1981|6|28|df|=|y}},,"[[Chennai]], Tamil Nadu, India",,,,,,,,,,[[Woman Grandmaster]] (2003),,,,,,,,,
Aarti Tikoo Singh,,Journalist,,,,,{{birth date and age|1978|10|12|df|=|yes}} {{citation needed|date|=|June 2020}},,Jammu and Kashmir,,,,,,,,,,,,,MA Political Science<br>MA English<br>MA International Affairs,,,,,,
Abadi Bano Begum (Bi Amma ),,,,,,Abdul Ali Khan,{{Birth year|1850}},{{death date and age|df|=|yes|1924|11|13|1850}},"[[Uttar Pradesh]], India",,,[[Indian independence movement]] activist,,[[File:Abadi Bano Begum (Bi-Amman).jpg|200px]],,16 <br/>including Maulana [[Mohammad Ali Jouhar]]<br/>Maulana [[Shaukat Ali (politician)|Shaukat Ali]],,,,,,,,Indian,,,,
Abha Dawesar,,Novelist,,,,,{{birth date and age|df|=|yes|1974|1|1}},,"[[New Delhi]], India",,,,"''[[Babyji]]'', ''Family Values'', ''That Summer in Paris'', ''Miniplanner''",,{{URL|http://www.abhadawesar.com}},,,,,,,,Abha Dawesar,Indian,,,,
Abha Dhillan,,,,,,,{{birth date and age|1953|12|28|df|=|yes}},,,,,,,,,,,,,,,,,Indian,,,,
Accamma Cherian,,,,,,V. V. Varkey,14 February 1909,5 May 1982,"[[Kanjirappally|Kanjirapally]], [[Travancore]]","[[Trivandrum]], [[Kerala]], India",,,,Akkamma Cherian.jpg,,,,,,,,,,Indian,,,,
Aditi Ashok,,,,,,,{{Birth date and age|1998|3|29|df|=|y}},,"[[Bangalore]], [[Karnataka]], India",,,,,Aditi Ashok.jpg,,,,,,,,,,{{IND}},,1.73 m,,
Aditi Chauhan,,,,,,,{{Birth date and age|1992|11|20|df|=|y}},,"[[Taleigão]], [[Goa]], India",,,,,,,,,,,,,,,,,,,
Aditi Mutatkar,,,{{IND}},,,,{{birth date and age|df|=|y|1987|10|6}},,"[[Gwalior]], [[Madhya Pradesh]], India",,,,,,,,,,,,,,,,,1.60 m,,
Adruti Laxmibai,,,,,,,12 October 1899,,"[[Berhampur]], [[Ganjam District]], [[Madras Presidency]], [[British India]] (Now in [[Odisha]] ,India)",,,,,,,,,,,,,"[[Medicine]] at [[Christian Medical College, Vellore]]",,[[Indian nationality|Indian]],,,,
Afshan Anjum,,,India,,,Danish Aziz,,,New Delhi,,,,,Afshan Anjum.jpg,,,,,,,,,,,,,,
Agnimitra Paul,,"Politician, Fashion designer",,Dr. Ashok Roy,,Partha Paul,{{Birth year and age|1973}},,"[[Asansol]], [[Paschim Bardhaman district|Paschim Bardhaman]], West Bengal",,,,,Agnimitra (Paul) sitting in her chamber at the studio - photographed by Sou Boyy (Sourendra Kumar das).JPG,,2 sons,,,,,,,Agnimitra Roy,Indian,,,,
Ahillya Harjani,,,{{IND}},,,,{{birth date and age|df|=|yes|1997|3|6}},,"[[Mumbai]], [[Maharashtra]], India",,,,,,,,,,,,,,,,,,,
Aishwarya Chezhiyan,,,India,,,,{{birth date and age|1996|1|1|df|=|yes}},,"Chennai,India",,,,,Varsha Gautham and Aishwarya Neduchezian.JPG,,,,,,,,,,{{IND}},{{convert|56|kg|lb|0|abbr|=|on}},{{height|cm|=|163|abbr|=|on}},,
Aishwarya Rai Bachchan,,{{hlist|[[Actor|Actress]]|[[Model (people)|model]]}},,,,{{marriage|[[Abhishek Bachchan]]|2007}},{{Birth-date and age|1 November 1973}},,"[[Mangalore]], [[Karnataka]], India",,,,,Aishwarya Rai Cannes 2017.jpg,,1,,Signature of Aishwarya Rai Bachchan.svg,[[Miss World 1994]],{{hlist|[[Padma Shri]] (2009)}} {{hlist|[[Ordre des Arts et des Lettres]] (2012)}},[[List of awards and nominations received by Aishwarya Rai|Full list]],,Aishwarya Rai,,,,,
Ajeet Cour,,"Writer, poet, and novelist",,,,Rajinder Singh (m. 1952),{{birth date and age|df|=|yes|1934 |11|16}},,"[[Lahore]], [[Punjab Province (British India)|Punjab Province]], [[British India]]",,,,Khanabadosh,Ajeet Caur.jpg,,"[[Arpana Caur]], Kendi Caur",,,,,[[Sahitya Academy Award]] 1985 <br/> [[Padma Shri]] <br/> [[Shiromani Sahityakar Award]] <br/> [[Baba Bali Award]],M.A. Economics,,Indian,,,,
Ajeet Cour,,"Writer, poet, and novelist",,,,Rajinder Singh (m. 1952),{{birth date and age|df|=|yes|1934 |11|16}},,"[[Lahore]], [[Punjab Province (British India)|Punjab Province]], [[British India]]",,,,Khanabadosh,Ajeet Caur.jpg,,"[[Arpana Caur]], Kendi Caur",,,,,[[Sahitya Academy Award]] 1985 <br/> [[Padma Shri]] <br/> [[Shiromani Sahityakar Award]] <br/> [[Baba Bali Award]],M.A. Economics,,Indian,,,,
Akanksha Deo Sharma,,,,,,,,,,,,,,,,,,,,,,,,Indian,,,,
Akanksha Sahai,,,,,,,{{Birth date and age|1988|10|28}},,India,,,,,Akanksha at the 2009 AIGs.JPG,,,,,,,,,,,54 kg,160 cm,,
Akanksha Singh,,,,,,,{{birth date and age|df|=|yes|1989|09|07}},,"[[Varanasi]], [[Uttar Pradesh]], India",,,,,,,,,,,,,,,{{flagicon|IND}} Indian,,5 ft 6 in (1.68 m),,
Alena Reji,,,,,,,{{birth date and age|1999|5|9|df|=|yes}},,"[[Omassery]], [[Kerala]]",,,,,UCI Track World Championships 2018 099.jpg,,,,,,,,,,,{{cvt|53|kg|lb|0}},{{height|cm|=|160}},,
Alessia Afi Dipol,,,,,,,"{{birth-date and age|August 1, 1995}}",,"[[Pieve di Cadore]], [[Veneto]], [[Italy]]",,,,,,,,,,,,,,,{{ITA}} <br> {{IND}} (2011–2013)<br> {{TOG}} (2013–present),,168 cm,,
Alka Tomar,,,[[India]],,,,,,"Sisoli village, [[Meerut district]], [[Uttar Pradesh]]",,,,,,,,,,,,,,,[[Indian people|Indian]],,,,
Alvira Khan Agnihotri,,"[[Film producer]], [[fashion designer]]",,,,{{marriage|[[Atul Agnihotri]] |1996}},{{birth date and age|df|=|y|1969|12|13}},,"[[Bombay]], [[Maharashtra]], [[India]]",,,,,Alvira Agnihotri at Ishkq In Paris-Isabelle Adjani event 08 (cropped).jpg,,2,,,,,,,,[[Indian people|Indian]],,,,
Amalprava Das,,Social worker,,,,,12 November 1911,,"[[Dibrugarh]], [[Assam]], India",,,Social service,,,,,,,,,[[Padma Shri]]<br>[[Jamnalal Bajaj Award]],,,,,,,
Amandeep Kaur,,,,,,,"{{birth-date and age|January 1, 1976}}",,,,,,,,,,,,,,,,,,,,,
Amba Sanyal,,"[[Actor|Theater artist]], [[costume designer]]",,,,,{{Birth year and age|1945}},,[[Delhi]],,,,,,,,,,,,,,,[[India]]n,,,,
S. Ambujadambal,,"[[freedom fighter]], Treasurer of the Women’s Swadeshi League, Vice-President of the Tamil Nadu Congress Committee, social worker",,,,S Desikachari,{{birth date|df|=|yes|1899|01|08}},,"[[chennai]](Madras), India",,,,,,,,,,,,,,S. Ambujammal,,,,,
Ameeta Sinh,,"Politician, Former national badminton champion,Former Education Minister",,,,"[[Syed Modi]] 1984 - 1988

[[Sanjaya Sinh|Sanjay Sinh]]",{{birth date and age|1962|10|4|df|=|y}},,"[[Mumbai]], [[Maharashtra]], [[India]] {{citation needed|date|=|February 2018}}",,,"President Delhi Capital Badminton Association, All India Professional Congress, Social work, Vice Chairman RRSGI group of Institutions, Amethi and Bronze medal winner Asian Games 1982",,,,,,,,,,,Ameeta Kulkarni,Indian,,,,
Ami Ghia Shah,,,[[India]],,,,{{birth date and age|df|=|yes|1956|12|8}},,"[[Surat]], [[Gujarat]], India",,,,,Ami Ghia image.jpg,,,,,,,,,,,,,,
Amita Malik,,Film and television critic,,,,,1921,{{Death date|df|=|yes|2009|02|20}} (age 87),"[[Guwahati]], [[Assam]], India","[[New Delhi]], India",,,,Amita Malik BITS 1983.jpg,,,,,,,"{{Plainlist|
* [[Kamal Kumari National Award]]
* B.D. Goenka Journalism Award 1992}}",,,Indian,,,,
Amita Sharma,,,India,,,,{{Birth date and age|1982|09|12|df|=|yes}},,"[[Delhi]], [[India]]",,,,,"Amita_Sharma_(10_March_2009,_Sydney).jpg",,,,,,,,,,,,,,
Amrita Cheema,,Journalist and News presenter,,,,,,,"[[Deolali]], [[India]]",,,,,Amrita Cheema - World Economic Forum on Latin America 2011.jpg,,,,,,,,[[University of Oxford]],,,,,,
Amrita Patel,,Businessperson,,[[Hirubhai M. Patel]],Savitaben,,{{birth date and age|df|=|y|1943|11|13}},,"[[New Delhi]], [[British India]]",,,,,Amrita Patel - Kolkata 2016-04-07 3354.JPG,,,,,,,[[Padma Bhushan]] (2001),,,,,,,
Amrita Pritam,,"Novelist, poet, essayist",,,,Imroz,{{birth date|1919|8|31|df|=|y}},{{death date and age|2005|10|31|1919|8|31|df|=|y}},"[[Gujranwala]], [[Punjab (British India)|Punjab]], [[British India]] (now [[Pakistan]])","[[Delhi]], [[India]]",,,''[[Pinjar (novel)|Pinjar]]'' (novel)<br />''[[Ajj aakhaan Waris Shah nu]]'' (poem)<br />''Suneray'' (poem),"Amrita Pritam (1919 – 2005) , in 1948.jpg",,2,,,,,[[Sahitya Akademi Award]] {{small|(1956)}} <br>[[Padma Shri]] {{small|(1969)}} <br>[[Bharatiya Jnanpith]] {{small|(1982)}} <br>Shatabdi Samman {{small|(2000)}} <br>[[Padma Vibhushan]] {{small|(2004)}},,Amrita Kaur,Indian,,,,
Amrita Pratapsinh Shinde,,,India,,,,{{Birth date and age|1975|7|9|df|=|yes}},,"[[Kolhapur]], [[India]]",,,,,,,,,,,,,,,,,,,
Amritha Ram,,"entrepreneur, fashion costume designer, celebrity stylist",,,,,,,,,,fashion designing,,,,,,,,,,,,[[India]]n,,,,
Amrutha Suresh,,{{hlist|Singer|Composer|Radio Jockey|Model}},,,,{{Marriage|[[Bala (actor)|Bala]]|2010|2019|reason|=|divorced}},{{Birth date and age|df|=|yes|1990|08|02}},,"[[Kochi]], [[Kerala]], India",,,,,,{{URL|amrutamgamay.com}},1,,,,,,,,,,,,
Anagha Arun Deshpande,,,India,,,,{{Birth date and age|1985|11|19|df|=|yes}},,"[[Solapur]], [[Maharashtra]], India",,,,,,,,,,,,,,,,,,,
Anaita Shroff Adajania,,"Fashion stylist, costume designer<br>Fashion Director [[Vogue India]]",,,,{{marriage|[[Homi Adajania]]|2002}},{{birth based on age as of date |40|2013|01|06}},,"[[Mumbai]], [[Maharashtra]]",,,,,,,,,,,,,,,Indian,,,,
Anaka Alankamony,,,{{flagicon|IND}} India,,,,{{birth date and age|df|=|yes|1994|07|10}},,"[[Chennai]], [[India]]",,,,,,,,,,,,,,,,,,,
Anamika,,"Poet, Writer",,,,,{{birth date and age|df|=|yes|1961|08|17}},,"[[Muzaffarpur]], [[Bihar]], [[India]]",,,,,File:Anamika.jpg,,,,,,,,"[[Master of Arts|MA]] in [[English literature]], [[PhD]], [[DLit]]",,[[Indian people|Indian]],,,,
Anamika Khanna,,Fashion designer,,,,,{{birth date and age|1971|07|19|df|=|yes}},,,,,,,,,,,,,,,,,Indian,,,,
Sri Anandamayi Ma,,,,,,Ramani Mohan Chakrabarti,{{birth date|1896|5|30|df|=|y}},{{death date and age|1982|8|27|1896|4|30|df|=|y}},"Kheora, [[Brahmanbaria District|Brahmanbaria]], [[Bengal Presidency|Bengal]], British India (Now Bangladesh)","Kishenpur, [[Dehradun]], Uttrakhand, India",,,,Sri Anandamoyi Ma.jpg,,,,,,,,,Nirmala Sundari,,,,,
Anandiben Patel,,,,,,Mafatlal Patel {{small|(estranged)}},{{Birth date and age|df|=|yes|1941|11|21}},,"[[Kharod, Gujarat|Kharod]], [[Bombay Presidency]], [[British India]] (present-day Gujarat, India)",,,,,Anandiben Patel Ji.jpg,,2,,,,,,,,[[Indian people|Indian]],,,,
Andal Venkatasubba Rao,,Social worker<br>Educationist,,,,M. Venkatasubba Rao,1894,1969,"[[Chennai]], [[Tamil Nadu]], India",India,,Madras Seva Sadan,,,,,,,,,[[Padma Bhushan]],,,,,,,
Anees Jung,,"[[Writer]], [[journalist]], [[columnist]]",,,,,{{Birth year and age|1944}},,"[[Rourkela]], [[Odisha]], India",,,''Unveiling India'' (1987),,,,,,,,,,,,[[Indian people|Indian]],,,,
Angana P. Chatterji,,,,,,Richard Shapiro,November 1966,,"[[Calcutta]], India",,,,"Violent Gods, Buried Evidence",Angana Chatterji.JPG,[http://www.anganachatterji.net anganachatterji.net],,,,,,,[[Master of Arts|MA]] (Political Science)<br/> [[Doctorate|PhD]] (Humanities),,Indian,,,,
Angom Anita Chanu,,,{{IND}},,,,{{Birth-date and age|27 February 1984}},,"Mayang, [[Manipur]], India [https://onlinejfi.org/data/Annexure-7.pdf]",,,,,"The_President_Dr._A.P.J._Abdul_Kalam_presenting_the_Arjuna_Award_for_the_year_2004_to_Ms._Angom_Anita_Chanu_for_Judo,_at_a_glittering_function_in_New_Delhi_on_August_29,_2005.jpg",,,,,,,,,,Indian,57 kg,,,
Anila Dalal,,"Literary critic, translator",,,,,{{Birth date and age|df|=|yes|1933|10|21}},,"[[Ahmedabad]], [[Gujarat]], [[India]]",,,,,,,,,Anila Dalal signature.jpg,,,,"M.A, M.S, Ph.D",Anila Amrutlal Dalal,[[India]]n,,,,
Anima Choudhury,,"Singer, musician, professor",,,,,{{birth date and age|df|=|yes|1953|2|28}},,"[[Nalbari]], Assam, India",,,,,Dr. Anima Choudhury Felicitated.jpg,,,ড৹ অনিমা চৌধুৰী,,,,,,,,,,,
